date,p
2012/12/1,1499
2013/1/1,2667
2013/2/1,2526
2013/3/1,3509
2013/4/1,4068
2013/5/1,3135
2013/6/1,2483
2013/7/1,2495
2013/8/1,2761
2013/9/1,2383
2013/10/1,2824
2013/11/1,3818
2013/12/1,3082
2014/1/1,2891
2014/2/1,2653
2014/3/1,2938
2014/4/1,3844
2014/5/1,2538
2014/6/1,2058
2014/7/1,1549
2014/8/1,1523
2014/9/1,2125
2014/10/1,2732
2014/11/1,2997
2014/12/1,2314
2015/1/1,1664
2015/2/1,1621
2015/3/1,1588
2015/4/1,1909
2015/5/1,1580
2015/6/1,1959
2015/7/1,1344
2015/8/1,1459
2015/9/1,1208
2015/10/1,1522
2015/11/1,1855
2015/12/1,1847
2016/1/1,1587
2016/2/1,780
2016/3/1,1770
2016/4/1,2246
2016/5/1,1723
2016/6/1,1123
2016/7/1,856
2016/8/1,946
2016/9/1,1134
2016/10/1,1282
2016/11/1,1422
2016/12/1,2887
2017/1/1,1082
2017/2/1,1142
2017/3/1,2084
2017/4/1,1645
2017/5/1,671
2017/6/1,450
2017/7/1,734
2017/8/1,1751
2017/9/1,834
2017/10/1,1273
2017/11/1,1709
2017/12/1,1774
2018/1/1,1633
2018/2/1,953
2018/3/1,774
