date,p
2012/12/1,1658.7
2013/1/1,1843.6
2013/2/1,1922.2
2013/3/1,1705
2013/4/1,1562.8
2013/5/1,1526.2
2013/6/1,1453.6
2013/7/1,1453.3
2013/8/1,1570.5
2013/9/1,1592.5
2013/10/1,1567.8
2013/11/1,1602
2013/12/1,1565.2
2014/1/1,1377.3
2014/2/1,1315
2014/3/1,1210.9
2014/4/1,1226.7
2014/5/1,1171.4
2014/6/1,1149
2014/7/1,1116.8
2014/8/1,1113.9
2014/9/1,1075.4
2014/10/1,1085.3
2014/11/1,1058.2
2014/12/1,1030
2015/1/1,1038.6
2015/2/1,1031.2
2015/3/1,986.4
2015/4/1,916.9
2015/5/1,916.4
2015/6/1,897.8
2015/7/1,823.7
2015/8/1,807.5
2015/9/1,777.2
2015/10/1,738.4
2015/11/1,684.4
2015/12/1,623.7
2016/1/1,633.7
2016/2/1,668.8
2016/3/1,750.5
2016/4/1,951.4
2016/5/1,911.1
2016/6/1,876.4
2016/7/1,1000.6
2016/8/1,1212.8
2016/9/1,1217.7
2016/10/1,1551.4
2016/11/1,2040.2
2016/12/1,1708.2
2017/1/1,1631.1
2017/2/1,1656.1
2017/3/1,1836.8
2017/4/1,1674.8
2017/5/1,1533.4
2017/6/1,1541.4
2017/7/1,1882.8
2017/8/1,2221.5
2017/9/1,2214.4
2017/10/1,1766.7
2017/11/1,1887.7
2017/12/1,2079.6
2018/1/1,2018.7
2018/2/1,2149.9
2018/3/1,1994.8
